,KALCODE,neighbors
224,08020408,"['07040301', '08020403', '08020406', '08020407', '08020404', '08020408', '08020405', '08020401', '07130302']"
225,08030101,"['08010108', '08010107', '08030101', '08030103', '08030104', '14030202', '14030204', '14030303', '14030304', '10010203', '08010404', '08030102', '08030105', '08030205', '08030201', '08030203', '14030301']"
226,08030102,"['08010405', '08010107', '08030101', '08030102', '08030105']"
227,08030103,"['08030101', '08030103', '08030104', '08030203', '08030204']"
228,08030104,"['08030101', '08030103', '08030104', '10010203', '08030204', '10010110']"
229,08030105,"['08010405', '08030101', '08010404', '08030102', '08030105', '08030205']"
230,08030201,"['08030101', '08030205', '08030201', '08030206', '08030203']"
231,08030202,"['08030206', '08030203', '08030303', '08030202', '08030204', '10040102', '10040109']"
232,08030203,"['08030101', '08030103', '08030201', '08030206', '08030203', '08030202', '08030204']"
233,08030204,"['08030103', '08030104', '08030203', '08030202', '08030204', '10040109', '10010110', '10010107', '10010101']"
234,08030205,"['08030101', '08010404', '08030105', '08030205', '08030201', '08030206', '08010401']"
235,19030105,"['19040102', '19020101', '19030106', '19030104', '19030105', '19030103', '19030111', '19030109']"
236,19030106,"['19040102', '19010304', '19030106', '19030104', '19030105']"
237,19030107,"['19030102', '19030112', '26030401', '19030107', '19030301']"
238,19030108,"['19030104', '19030103', '19010406', '19030108', '19030109', '19010407', '19030208']"
239,19030109,"['19030105', '19030103', '19030111', '19030108', '19030109', '19030101', '19030208']"
240,19030110,"['19020307', '19020302', '23020108', '19020303', '19030110', '19030112', '26030401', '26030709', '23020105', '23020103']"
241,19030111,"['19020101', '19020103', '19030105', '19030103', '19030111', '19030109', '19030101', '19030112']"
242,19030112,"['19020104', '19020103', '19030111', '19030102', '19030101', '19020303', '19030110', '19030112', '26030401', '19030107']"
243,19030201,"['18020101', '19030204', '19030203', '18020405', '19030201', '18020103', '19030401', '19030205']"
244,19030202,"['19030208', '19010402', '19030206', '18020408', '19030202', '19030207', '19030204', '19030203']"
245,19030203,"['19030101', '19030208', '19030206', '19030202', '19030207', '19030301', '19030204', '19030203', '19030201', '19030401']"
246,19030204,"['18020408', '19030202', '19030204', '19030203', '18020405', '19030201']"
247,19030205,"['18020101', '18020102', '19030201', '18020103', '19030205']"
248,19030206,"['19030208', '19030206', '19030202', '19030207', '19030203']"
249,19030207,"['19030206', '19030202', '19030207', '19030203']"
250,19030208,"['19030108', '19030109', '19010407', '19030101', '19030208', '19010402', '19030206', '19030202', '19030203']"
251,19030301,"['19030102', '19030101', '26030401', '19030107', '26030503', '19030301', '19030203', '19030401', '26030501']"
252,19030401,"['18020101', '19030301', '19030203', '19030201', '19030401', '26030501', '26030203']"
253,19040101,"['19010104', '19040103', '19010101', '19040101', '19020204', '19010302', '19040102']"
254,19040102,"['19040101', '19020204', '19010302', '19020201', '19040102', '19010304', '19020101', '19030106', '19030105']"
255,19040103,"['19010104', '19040402', '19040103', '19040403', '19040101', '19020204']"
256,19040201,"['19010201', '19040301', '19040201', '19040204', '19040205', '19010209', '19040202']"
257,19040202,"['19010201', '19040201', '19040205', '19010209', '19040202', '19040203', '19010102', '19010101', '19010203']"
258,19040203,"['19040205', '19040206', '19040202', '19040203', '19010101']"
259,19040204,"['19040301', '19040201', '19040207', '19040204', '19040205', '19040206']"
260,19040205,"['19040201', '19040204', '19040205', '19040206', '19040202', '19040203']"
261,19040206,"['19040207', '19040204', '19040401', '19040205', '19040206', '19040203', '19010104', '19040402', '19010101']"
262,19040207,"['19040301', '19040207', '19040204', '19040401', '19040206']"
263,19040301,"['19040301', '19040201', '19040207', '19040204']"
264,30010404,"['30010501', '30010506', '30010205', '30010404', '30010403', '30010401', '30010406']"
265,30010405,"['30010402', '30010401', '30010103', '30010407', '30010408', '30010405', '30010105', '30010107']"
266,30010406,"['30010404', '30010403', '30010401', '30010406', '30010111', '30010408', '30010410', '30010102']"
267,30010407,"['30010402', '30010401', '30010409', '30010103', '30010407', '30010405']"
268,30010408,"['30010401', '30010406', '30010111', '30010408', '30010405', '30010105', '30010113']"
269,30010409,"['30010402', '30010201', '30010409', '30010108', '30010103', '30010407']"
270,30010410,"['30010403', '30010406', '30010503', '30010504', '30010410', '30010102']"
271,30010501,"['38050022', '38030805', '30010511', '30010501', '30010507', '30010506', '30010404', '30010403', '30010505', '30010503']"
272,30010502,"['38030909', '38030908', '30010510', '30010509', '30010502', '38030910']"
273,30010503,"['30010501', '30010403', '30010505', '30010503', '30010504', '30010410']"
274,30010504,"['30010505', '30010503', '30010504', '30010509', '30010410', '30010102']"
275,30010505,"['30010501', '30010507', '30010505', '30010503', '30010504', '30010509']"
276,30010506,"['38050022', '30010511', '30010501', '38050007', '30010508', '30010506', '30010205', '30010404']"
277,30010507,"['38030706', '38030704', '38030905', '38030805', '30010501', '30010507', '30010505', '30010510', '30010509']"
278,30010508,"['38050013', '38050007', '30010508', '30010506', '30010205', '30010204']"
279,30010509,"['30010507', '30010505', '30010510', '30010504', '30010509', '30010502', '30010102', '38030902', '38030910']"
280,30010510,"['38030905', '38030909', '30010507', '30010510', '30010509', '30010502']"
281,30010511,"['38050022', '30010511', '30010501', '30010506']"
282,30010601,"['23060401', '30010302', '30010305', '30010602', '30010603', '27050209', '27050210', '27050211', '30010601', '23060302', '23060303', '23010305']"
283,30010602,"['30010305', '30010602', '30010603', '30010601', '30010303', '30020104', '30020105']"
284,30010603,"['30010602', '30010603', '30010601', '30020105', '23010207', '23010305']"
285,30020101,"['30020504', '30020502', '30020501', '30020101', '30020106', '30020205', '30020204', '30020505', '30020103']"
286,30020102,"['30020106', '30020204', '30020104', '30020102', '30020105', '30020201']"
287,30020103,"['30010106', '30010112', '30020504', '30020101', '30020106', '30020103', '30010110', '30020104']"
288,30020104,"['30020106', '30010602', '30020103', '30010110', '30010303', '30020104', '30020102', '30020105']"
289,30020105,"['30020106', '30010602', '30010603', '30020104', '30020102', '30020105', '30020201', '23010204', '23010207']"
290,30020106,"['30020101', '30020106', '30020204', '30020103', '30020104', '30020102', '30020105']"
291,30020201,"['30020204', '30020102', '30020105', '30020201', '23010204', '30020203', '30020206', '30020202']"
292,30020202,"['30020201', '23010204', '23030205', '23030203', '30020206', '30020207', '30020202', '23030202', '23020201']"
293,38040301,"['38040103', '38040202', '38040210', '38040301', '19040401', '38040302']"
294,38040302,"['38040210', '38040301', '19040401', '38040302', '19040403', '19020203', '19020202']"
295,38050001,"['38050002', '38050020', '38050003', '38050001', '38050016', '38050012', '38050023', '38050015', '38050004', '38050010']"
296,38050002,"['38060113', '38050006', '38050002', '38060509', '38050021', '38050020', '38050001', '38050012']"
297,38050003,"['38030502', '38030806', '38030506', '38050021', '38030504', '38050020', '38050003', '38050001', '38050016', '38050015']"
298,38050004,"['38050001', '38050023', '38050008', '38050014', '38050004', '38050010']"
299,38050005,"['38050014', '38050017', '38050022', '38050005', '38050013', '38050007']"
300,38050006,"['38060112', '38060104', '38060113', '38050006', '38050002', '38060509', '38030505', '38050011', '38050021']"
301,38050007,"['38050022', '38050005', '38050013', '38050007', '30010508', '30010506']"
302,38050008,"['38060404', '38050023', '38060401', '38050008', '38050019', '38050014', '38050004']"
303,38050009,"['38060406', '38060402', '38050009', '38060411', '38050014', '38060409', '30010204']"
304,38050010,"['38050001', '38050014', '38050017', '38050015', '38050004', '38030803', '38050010', '38030810', '38050022']"
305,38050011,"['38050006', '38030505', '38050011', '38050018', '38030506', '38050021']"
306,38050012,"['38050002', '38060509', '38050001', '38050012', '38060404', '38050023']"
307,38050013,"['38050014', '38050005', '38050013', '38050007', '30010508', '30010205', '30010204']"
308,38050014,"['38050009', '38050008', '38050019', '38060411', '38050014', '38050017', '38050004', '38050010', '38050005', '38050013', '30010204']"
309,38060114,"['38060107', '38060105', '38060106', '38060114', '38060109', '38060111', '38060507']"
310,38060201,"['38060201', '38060203', '38060202']"
311,38060202,"['38060201', '38060203', '38060202', '38060603', '38060606', '38060103', '38060104']"
312,38060203,"['38060201', '38060203', '38060202', '38060101', '38060103']"
313,38060301,"['38060319', '38060302', '38060314', '38060303', '38060320', '38060312', '38060308', '38060301', '38060311']"
314,38060302,"['38060319', '38060412', '38060302', '38060402', '38060314', '38060410', '38060301']"
315,38060303,"['38060310', '38060503', '38060502', '38060319', '38060304', '38060303', '38060312', '38060301']"
316,38060304,"['38060310', '38060313', '38060317', '38060304', '38060303', '38060320', '38060312']"
317,38060305,"['38060316', '31020203', '38060305', '27050120', '27050111']"
318,38060306,"['38060314', '38060307', '38060311', '38060306', '31020206', '31020209']"
319,38060307,"['38060314', '38060307', '38060309', '38060407', '38060405', '38060311', '38060306', '31020206', '31020209']"
320,38060308,"['31020202', '31020210', '38060320', '38060308', '38060301', '38060311', '31020206']"
321,38060309,"['38060307', '38060309', '38060405', '38060315', '31020209', '31020203']"
